"","pdx_all_dates_f","Freq","pdx_chem_dates_f","Freq.1","us_all_dates_f","Freq.2","us_chem_dates_f","Freq.3"
"1","2020-05-26",0,"2020-05-26",0,"2020-05-26",3,"2020-05-26",1
"2","2020-05-27",0,"2020-05-27",0,"2020-05-27",0,"2020-05-27",0
"3","2020-05-28",0,"2020-05-28",0,"2020-05-28",3,"2020-05-28",1
"4","2020-05-29",0,"2020-05-29",0,"2020-05-29",36,"2020-05-29",11
"5","2020-05-30",2,"2020-05-30",1,"2020-05-30",120,"2020-05-30",51
"6","2020-05-31",0,"2020-05-31",0,"2020-05-31",145,"2020-05-31",68
"7","2020-06-01",0,"2020-06-01",0,"2020-06-01",75,"2020-06-01",38
"8","2020-06-02",5,"2020-06-02",5,"2020-06-02",55,"2020-06-02",23
"9","2020-06-03",1,"2020-06-03",0,"2020-06-03",29,"2020-06-03",8
"10","2020-06-04",1,"2020-06-04",0,"2020-06-04",32,"2020-06-04",5
"11","2020-06-05",2,"2020-06-05",1,"2020-06-05",12,"2020-06-05",3
"12","2020-06-06",5,"2020-06-06",4,"2020-06-06",12,"2020-06-06",7
"13","2020-06-07",5,"2020-06-07",2,"2020-06-07",10,"2020-06-07",5
"14","2020-06-08",1,"2020-06-08",0,"2020-06-08",3,"2020-06-08",0
"15","2020-06-09",0,"2020-06-09",0,"2020-06-09",2,"2020-06-09",0
"16","2020-06-10",0,"2020-06-10",0,"2020-06-10",0,"2020-06-10",0
"17","2020-06-11",0,"2020-06-11",0,"2020-06-11",1,"2020-06-11",1
"18","2020-06-12",0,"2020-06-12",0,"2020-06-12",1,"2020-06-12",0
"19","2020-06-13",2,"2020-06-13",1,"2020-06-13",5,"2020-06-13",1
"20","2020-06-14",1,"2020-06-14",0,"2020-06-14",5,"2020-06-14",2
"21","2020-06-15",1,"2020-06-15",0,"2020-06-15",3,"2020-06-15",2
"22","2020-06-16",1,"2020-06-16",0,"2020-06-16",2,"2020-06-16",0
"23","2020-06-17",1,"2020-06-17",0,"2020-06-17",1,"2020-06-17",0
"24","2020-06-18",0,"2020-06-18",0,"2020-06-18",2,"2020-06-18",0
"25","2020-06-19",1,"2020-06-19",0,"2020-06-19",2,"2020-06-19",0
"26","2020-06-20",0,"2020-06-20",0,"2020-06-20",1,"2020-06-20",0
"27","2020-06-21",0,"2020-06-21",0,"2020-06-21",6,"2020-06-21",5
"28","2020-06-22",0,"2020-06-22",0,"2020-06-22",7,"2020-06-22",3
"29","2020-06-23",0,"2020-06-23",0,"2020-06-23",8,"2020-06-23",5
"30","2020-06-24",0,"2020-06-24",0,"2020-06-24",0,"2020-06-24",0
"31","2020-06-25",0,"2020-06-25",0,"2020-06-25",1,"2020-06-25",0
"32","2020-06-26",4,"2020-06-26",2,"2020-06-26",11,"2020-06-26",4
"33","2020-06-27",1,"2020-06-27",0,"2020-06-27",8,"2020-06-27",4
"34","2020-06-28",6,"2020-06-28",2,"2020-06-28",11,"2020-06-28",3
"35","2020-06-29",2,"2020-06-29",0,"2020-06-29",5,"2020-06-29",0
"36","2020-06-30",5,"2020-06-30",3,"2020-06-30",7,"2020-06-30",3
"37","2020-07-01",0,"2020-07-01",0,"2020-07-01",7,"2020-07-01",3
"38","2020-07-02",2,"2020-07-02",1,"2020-07-02",5,"2020-07-02",2
"39","2020-07-03",3,"2020-07-03",3,"2020-07-03",5,"2020-07-03",4
"40","2020-07-04",1,"2020-07-04",0,"2020-07-04",4,"2020-07-04",1
"41","2020-07-05",5,"2020-07-05",5,"2020-07-05",6,"2020-07-05",6
"42","2020-07-06",1,"2020-07-06",0,"2020-07-06",2,"2020-07-06",1
"43","2020-07-07",0,"2020-07-07",0,"2020-07-07",3,"2020-07-07",0
"44","2020-07-08",1,"2020-07-08",0,"2020-07-08",1,"2020-07-08",0
"45","2020-07-09",0,"2020-07-09",0,"2020-07-09",4,"2020-07-09",0
"46","2020-07-10",0,"2020-07-10",0,"2020-07-10",2,"2020-07-10",1
"47","2020-07-11",4,"2020-07-11",2,"2020-07-11",5,"2020-07-11",3
"48","2020-07-12",10,"2020-07-12",5,"2020-07-12",13,"2020-07-12",5
"49","2020-07-13",2,"2020-07-13",2,"2020-07-13",2,"2020-07-13",2
"50","2020-07-14",2,"2020-07-14",2,"2020-07-14",2,"2020-07-14",2
"51","2020-07-15",3,"2020-07-15",1,"2020-07-15",4,"2020-07-15",1
"52","2020-07-16",7,"2020-07-16",3,"2020-07-16",10,"2020-07-16",3
"53","2020-07-17",5,"2020-07-17",2,"2020-07-17",13,"2020-07-17",4
"54","2020-07-18",19,"2020-07-18",10,"2020-07-18",20,"2020-07-18",10
"55","2020-07-19",4,"2020-07-19",1,"2020-07-19",5,"2020-07-19",2
"56","2020-07-20",7,"2020-07-20",5,"2020-07-20",8,"2020-07-20",6
"57","2020-07-21",11,"2020-07-21",7,"2020-07-21",11,"2020-07-21",7
"58","2020-07-22",14,"2020-07-22",6,"2020-07-22",16,"2020-07-22",6
"59","2020-07-23",4,"2020-07-23",4,"2020-07-23",4,"2020-07-23",4
"60","2020-07-24",15,"2020-07-24",10,"2020-07-24",16,"2020-07-24",10
"61","2020-07-25",10,"2020-07-25",6,"2020-07-25",46,"2020-07-25",26
"62","2020-07-26",13,"2020-07-26",7,"2020-07-26",17,"2020-07-26",7
"63","2020-07-27",12,"2020-07-27",7,"2020-07-27",13,"2020-07-27",8
"64","2020-07-28",6,"2020-07-28",4,"2020-07-28",7,"2020-07-28",4
"65","2020-07-29",8,"2020-07-29",7,"2020-07-29",11,"2020-07-29",7
"66","2020-07-30",4,"2020-07-30",1,"2020-07-30",5,"2020-07-30",1
"67","2020-07-31",0,"2020-07-31",0,"2020-07-31",4,"2020-07-31",1
"68","2020-08-01",4,"2020-08-01",2,"2020-08-01",7,"2020-08-01",3
"69","2020-08-02",0,"2020-08-02",0,"2020-08-02",1,"2020-08-02",1
"70","2020-08-03",3,"2020-08-03",3,"2020-08-03",3,"2020-08-03",3
"71","2020-08-04",2,"2020-08-04",2,"2020-08-04",2,"2020-08-04",2
"72","2020-08-05",3,"2020-08-05",1,"2020-08-05",3,"2020-08-05",1
"73","2020-08-06",5,"2020-08-06",2,"2020-08-06",5,"2020-08-06",2
"74","2020-08-07",6,"2020-08-07",2,"2020-08-07",6,"2020-08-07",2
"75","2020-08-08",5,"2020-08-08",2,"2020-08-08",7,"2020-08-08",4
"76","2020-08-09",2,"2020-08-09",1,"2020-08-09",3,"2020-08-09",1
"77","2020-08-10",3,"2020-08-10",0,"2020-08-10",3,"2020-08-10",0
"78","2020-08-11",1,"2020-08-11",0,"2020-08-11",1,"2020-08-11",0
"79","2020-08-12",1,"2020-08-12",0,"2020-08-12",2,"2020-08-12",0
"80","2020-08-13",5,"2020-08-13",1,"2020-08-13",6,"2020-08-13",1
"81","2020-08-14",7,"2020-08-14",0,"2020-08-14",10,"2020-08-14",1
"82","2020-08-15",7,"2020-08-15",0,"2020-08-15",20,"2020-08-15",5
"83","2020-08-16",5,"2020-08-16",0,"2020-08-16",7,"2020-08-16",0
"84","2020-08-17",0,"2020-08-17",0,"2020-08-17",1,"2020-08-17",0
"85","2020-08-18",6,"2020-08-18",1,"2020-08-18",6,"2020-08-18",1
"86","2020-08-19",6,"2020-08-19",3,"2020-08-19",7,"2020-08-19",4
"87","2020-08-20",4,"2020-08-20",2,"2020-08-20",5,"2020-08-20",2
"88","2020-08-21",4,"2020-08-21",1,"2020-08-21",6,"2020-08-21",2
"89","2020-08-22",8,"2020-08-22",1,"2020-08-22",10,"2020-08-22",2
"90","2020-08-23",4,"2020-08-23",3,"2020-08-23",6,"2020-08-23",4
"91","2020-08-24",9,"2020-08-24",4,"2020-08-24",16,"2020-08-24",11
"92","2020-08-25",5,"2020-08-25",0,"2020-08-25",8,"2020-08-25",2
"93","2020-08-26",1,"2020-08-26",1,"2020-08-26",8,"2020-08-26",3
"94","2020-08-27",0,"2020-08-27",0,"2020-08-27",0,"2020-08-27",0
"95","2020-08-28",3,"2020-08-28",1,"2020-08-28",3,"2020-08-28",1
"96","2020-08-29",0,"2020-08-29",0,"2020-08-29",5,"2020-08-29",2
"97","2020-08-30",4,"2020-08-30",0,"2020-08-30",4,"2020-08-30",0
"98","2020-08-31",3,"2020-08-31",0,"2020-08-31",6,"2020-08-31",1
"99","2020-09-01",0,"2020-09-01",0,"2020-09-01",2,"2020-09-01",1
"100","2020-09-02",0,"2020-09-02",0,"2020-09-02",0,"2020-09-02",0
"101","2020-09-03",0,"2020-09-03",0,"2020-09-03",2,"2020-09-03",2
"102","2020-09-04",2,"2020-09-04",0,"2020-09-04",4,"2020-09-04",1
"103","2020-09-05",5,"2020-09-05",1,"2020-09-05",8,"2020-09-05",4
"104","2020-09-06",0,"2020-09-06",0,"2020-09-06",0,"2020-09-06",0
"105","2020-09-07",0,"2020-09-07",0,"2020-09-07",3,"2020-09-07",2
"106","2020-09-08",3,"2020-09-08",1,"2020-09-08",5,"2020-09-08",2
"107","2020-09-09",0,"2020-09-09",0,"2020-09-09",0,"2020-09-09",0
"108","2020-09-10",0,"2020-09-10",0,"2020-09-10",0,"2020-09-10",0
"109","2020-09-11",0,"2020-09-11",0,"2020-09-11",0,"2020-09-11",0
"110","2020-09-12",0,"2020-09-12",0,"2020-09-12",4,"2020-09-12",0
"111","2020-09-13",0,"2020-09-13",0,"2020-09-13",2,"2020-09-13",1
"112","2020-09-14",0,"2020-09-14",0,"2020-09-14",0,"2020-09-14",0
"113","2020-09-15",0,"2020-09-15",0,"2020-09-15",1,"2020-09-15",1
"114","2020-09-16",0,"2020-09-16",0,"2020-09-16",1,"2020-09-16",0
"115","2020-09-17",0,"2020-09-17",0,"2020-09-17",2,"2020-09-17",0
"116","2020-09-18",6,"2020-09-18",4,"2020-09-18",6,"2020-09-18",4
"117","2020-09-19",0,"2020-09-19",0,"2020-09-19",1,"2020-09-19",0
"118","2020-09-20",0,"2020-09-20",0,"2020-09-20",0,"2020-09-20",0
"119","2020-09-21",0,"2020-09-21",0,"2020-09-21",1,"2020-09-21",0
"120","2020-09-22",0,"2020-09-22",0,"2020-09-22",0,"2020-09-22",0
"121","2020-09-23",11,"2020-09-23",4,"2020-09-23",29,"2020-09-23",9
"122","2020-09-24",0,"2020-09-24",0,"2020-09-24",2,"2020-09-24",0
"123","2020-09-25",0,"2020-09-25",0,"2020-09-25",2,"2020-09-25",0
